frc_time	Pair	Uwind	Vwind	Tair	Qair	rain	swrad	cloud	SST
10.5	1003.400024	-4.541172981	-9.356161118	32.29999924	58	0	894.444458	0.300000012	29
10.54166698	1002.799988	-4.322847366	-8.906345367	32.70000076	57	0	997.222229	0.300000012	29
10.58333302	1002.299988	-6.920166492	-6.212994099	32.90000153	56	0	1013.888916	0.300000012	29
10.625	1001.799988	-8.110733032	-7.281896114	32.20000076	57	0	563.888916	0.300000012	29
10.66666698	1001.599976	-6.696935654	-6.012574673	31.70000076	62	0	588.888916	0.366666675	29
10.70833302	1001.5	-3.405879498	-7.017120838	31.60000038	61	0	513.888916	0.433333337	29
10.75	1001.700012	-3.405879498	-7.017120838	30.39999962	66	0	202.777771	0.5	29
10.79166698	1002	-3.10022378	-6.387379169	29.60000038	70	0	58.33333206	0.433333337	29
10.83333302	1002.400024	-2.314251423	-4.768043518	29.20000076	71	0	8.333333015	0.366666675	29
10.875	1002.799988	-2.139590979	-4.408191204	28.89999962	72	0	0	0.300000012	29
10.91666698	1003.200012	-1.877600312	-3.868412733	28.70000076	74	0	0	0.316666663	29
10.95833302	1003	-1.659274697	-3.418597221	28.60000038	74	0	0	0.333333343	29
11	1002.599976	-2.052260876	-4.228265285	28.5	75	0	0	0.349999994	29
11.04166698	1002.599976	-5.72960043	-5.144091606	28.70000076	66	0	0	0.366666675	29
11.08333302	1002.200012	-2.139590979	-4.408191204	27.70000076	77	0	0	0.383333325	29
11.125	1001.900024	-1.833935142	-3.778449535	27.60000038	79	0	0	0.400000006	29
11.16666698	1001.799988	-1.571944475	-3.238671064	27.70000076	78	0	0	0.333333343	29
11.20833302	1001.799988	-1.79027009	-3.688486576	27.70000076	75	0	0	0.266666681	29
11.25	1001.900024	-1.659274697	-3.418597221	27.60000038	76	0	2.777777672	0.200000003	29
11.29166698	1002.400024	-1.659274697	-3.418597221	27.60000038	76	0	36.11111069	0.366666675	29
11.33333302	1003	-2.183256149	-4.498154163	29.39999962	70	0	188.8888855	0.533333361	29
11.375	1003.299988	-3.012893438	-6.207452774	30	68	0	375	0.699999988	29
11.41666698	1003.299988	-2.794567823	-5.757637501	30.79999924	66	0	608.333313	0.600000024	29
11.45833302	1003.099976	-0.612830281	-9.480213165	31.70000076	56	0	822.222229	0.5	29
11.5	1002.5	-0.483813375	-7.484378815	32.59999847	55	0	911.111084	0.400000006	29
11.54166698	1002.200012	-3.362214565	-6.927157879	33.09999847	56	0	988.888916	0.5	29
11.58333302	1001.799988	-3.973526239	-8.186640739	32.90000153	55	0	977.777771	0.600000024	29
11.625	1001.200012	-0.53542012	-8.282711983	32.20000076	59	0	900	0.699999988	29
11.66666698	1001.099976	-0.451559156	-6.985420227	30.89999962	66	0	611.111084	0.633333325	29
11.70833302	1001	-0.425755769	-6.586253166	31.10000038	68	0	355.555542	0.566666663	29
11.75	1001.799988	-0.367698163	-5.688127995	29.10000038	74	0	136.1111145	0.5	29
11.79166698	1002.200012	-2.008595705	-4.138301849	29.39999962	70	0	50	0.600000024	29
11.83333302	1002.5	-1.79027009	-3.688486576	29.20000076	71	0	8.333333015	0.699999988	29
11.875	1003.5	-2.794567823	-5.757637501	28	78	0	0	0.800000012	29
11.91666698	1003.299988	-0.219328731	-3.392918348	27.60000038	81	0	0	0.699999988	29
11.95833302	1003.400024	-0.303189725	-4.690210819	28.10000038	78	0	0	0.600000024	29
12	1003.400024	-1.746604919	-3.598523378	27.79999924	80	0	0	0.5	29
12.04166698	1003.099976	-1.702939749	-3.508560419	28	79	0	0	0.400000006	29
12.08333302	1002.900024	-1.178958297	-2.429003239	27.70000076	79	0	0	0.300000012	29
12.125	1002.700012	-1.178958297	-2.429003239	27.70000076	80	0	0	0.200000003	29
12.16666698	1002.599976	-0.135467738	-2.095626116	27.70000076	79	0	0	0.266666681	29
12.20833302	1002.799988	-0.161271125	-2.494792938	27.89999962	78	0	0	0.333333343	29
12.25	1002.700012	-0.206427038	-3.193334818	27.89999962	79	0	2.777777672	0.400000006	29
12.29166698	1003.200012	-0.193525344	-2.993751526	27.79999924	76	0	41.66666794	0.466666669	29
12.33333302	1003.799988	-1.702939749	-3.508560419	29.20000076	72	0	202.777771	0.533333361	29
12.375	1004.099976	-0.32254225	-4.989585876	30.39999962	69	0	416.6666565	0.600000024	29
12.41666698	1004.400024	-0.348345637	-5.38875246	30.89999962	63	0	588.888916	0.666666687	29
12.45833302	1004.799988	-0.406403244	-6.286878109	31.5	66	0	597.222229	0.733333349	29
12.5	1004.799988	-2.445246935	-5.037932873	31.89999962	64	0	644.444458	0.800000012	29
